energy_cost,reheat_kwh,holding_min,poured_batches,missing_batches,peak_kw,solar_saving,seed,mode,n_gen,pop_size,tier,wall_time_sec
28039.262933333335,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,0,service,50,50,reduced,49.5
28051.114433333336,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,1,service,50,50,reduced,76.11
27991.856933333336,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,2,service,50,50,reduced,48.07
28039.262933333335,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,3,service,50,50,reduced,53.28
28151.940683333338,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,4,service,50,50,reduced,62.62
27956.302433333338,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,5,service,50,50,reduced,49.62
28214.49026666667,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,6,service,50,50,reduced,49.6
27956.302433333338,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,7,service,50,50,reduced,56.01
27956.302433333334,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,8,service,50,50,reduced,49.2
28164.450600000004,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,9,service,50,50,reduced,35.97
28027.411433333335,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,10,service,50,50,reduced,47.94
27970.98657083334,0.0,0.0,12,0,1371.0572400848046,929.8905958333343,11,service,50,50,reduced,57.86
27956.302433333334,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,12,service,50,50,reduced,64.14
28189.470433333336,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,13,service,50,50,reduced,55.35
27991.856933333336,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,14,service,50,50,reduced,57.71
28051.114433333336,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,15,service,50,50,reduced,57.25
28092.683183333334,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,16,service,50,50,reduced,80.23
27956.302433333334,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,17,service,50,50,reduced,40.74
28071.812820833336,0.0,0.0,12,0,1371.0572400848046,929.8905958333343,18,service,50,50,reduced,51.65
28051.114433333336,0.0,0.0,12,0,1371.0572400848046,909.0202333333342,19,service,50,50,reduced,48.42
